Name,Vertical,Subcategory,Category,Theme,Brand,Price,QTY,Asset Value
""
Customer Req=>
budget:,5000
persona:,Young Couple
room_type:,Master Bedroom
room_area:,300
brand_preference:,"['Wayfair', 'West Elm', 'Crate And Barrel', 'Pottery Barn']"
theme_preference:,"['Hollywood Regency', 'COASTAL CASUAL']"
user_defined_assets:,"[['Beds', 1], ['Mirrors', 1], ['Cushions', 4]]"
""
SET 0
Bissonnette 58 TV Stand,TV Units,TV Units,Furniture,CONTEMPORARY,Wayfair,130.22,1.0,2.3095238095238093
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,3.0,2.4761904761904763
final_val: ,128,final_price: ,4999,final_area: ,178
""
SET 3
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,1.0,2.1666666666666665
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,3.0,3.0
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,2.0,3.0
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,4.0,1.3333333333333335
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,1.0,0.9761904761904763
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,1.0,1.8095238095238093
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,5.0,1.6428571428571428
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,2.0,0.8095238095238093
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,3.0,1.9761904761904763
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,1.0,2.5
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,1.0,1.4761904761904763
Evonne Floating Shelf,Wall Shelves,Display Units,Furniture,RUSTIC,Wayfair,46,2.0,2.4761904761904763
